"","Hugo_Symbol","n_pts","n_tumor_samples"
"592","ANKRD40",1,1
"593","ANKRD42",2,2
"594","ANKRD44",1,1
"595","ANKRD50",3,3
"596","ANKRD52",2,2
"597","ANKRD53",2,2
"598","ANKRD54",1,1
"599","ANKRD55",3,4
"600","ANKS1A",2,2
"601","ANKS1B",3,3
"602","ANKS3",1,1
"603","ANKS4B",2,2
"604","ANKS6",2,2
"605","ANKZF1",1,1
"606","ANLN",2,2
"607","ANO10",1,1
"608","ANO2",6,7
"609","ANO3",3,3
"610","ANO4",5,5
"611","ANO5",4,4
"612","ANO6",2,2
"613","ANO7",1,2
"614","ANO8",2,2
"615","ANO9",1,1
"616","ANOS1",3,3
"617","ANP32A",1,1
"618","ANP32D",1,1
"619","ANPEP",3,3
"620","ANTKMT",1,1
"621","ANTXR1",1,1
"622","ANXA1",1,1
"623","ANXA11",2,2
"624","ANXA13",2,2
"625","ANXA2",1,1
"626","ANXA2R",1,1
"627","ANXA3",1,1
"628","ANXA4",1,1
"629","ANXA5",1,1
"630","ANXA8",1,1
"631","ANXA8L1",2,2
"632","ANXA9",2,2
"633","AOAH",1,1
"634","AOC1",5,6
"635","AOC2",2,2
"636","AOC3",1,1
"637","AOPEP",2,2
"638","AOX1",2,2
"639","AP000721.1",1,1
"640","AP000769.3",6,6
"641","AP000769.5",1,1
"642","AP001425.1",1,1
"643","AP001781.2",2,2
"644","AP002512.3",3,5
"645","AP002748.5",2,2
"646","AP1AR",1,1
"647","AP1B1",2,2
"648","AP1G1",2,2
"649","AP1M1",1,1
"650","AP1M2",2,2
"651","AP2A1",2,2
"652","AP2B1",2,2
"653","AP2M1",1,1
"654","AP3B1",2,2
"655","AP3B2",1,1
"656","AP3D1",2,2
"657","AP3M1",1,1
"658","AP4B1",1,1
"659","AP4E1",2,2
"660","AP4M1",1,1
"661","AP4S1",1,1
"662","AP5B1",2,2
"663","AP5S1",1,1
"664","AP5Z1",1,1
"665","APAF1",1,1
"666","APBA1",3,4
"667","APBA2",2,2
"668","APBB1",2,2
"669","APBB1IP",1,1
"670","APBB3",2,2
"671","APC",4,5
"672","APC2",1,1
"673","APCDD1",1,1
"674","APCDD1L",2,3
"675","APCS",1,1
"676","APEH",1,1
"677","APH1A",3,3
"678","APH1B",1,1
"679","APLN",1,1
"680","APLP1",3,3
"681","APLP2",4,4
"682","APMAP",2,2
"683","APOA2",1,1
"684","APOA4",1,1
"685","APOA5",1,1
"686","APOB",7,8
"687","APOBEC3A",1,2
"688","APOBEC3F",1,1
"689","APOBEC3G",2,2
"690","APOBEC3H",2,2
"691","APOBR",2,2
"692","APOC3",1,1
"693","APOF",1,1
"694","APOH",3,3
"695","APOL1",1,2
"696","APOL2",1,1
"697","APOL5",1,1
"698","APOL6",1,1
"699","APOO",1,1
"700","APOOL",1,1
"701","APP",1,1
"702","APPBP2",1,1
"703","APPL1",2,2
"704","APPL2",1,2
"705","APTX",1,1
"706","AQP1",1,1
"707","AQP10",3,4
"708","AQP11",1,1
"709","AQP3",1,1
"710","AQP4",2,2
"711","AQP7",3,3
"712","AQP8",2,2
"713","AQP9",2,2
"714","AQR",3,3
"715","AR",3,3
"716","ARAP1",2,2
"717","ARAP2",4,5
"718","ARAP3",1,1
"719","AREG",1,1
"720","AREL1",3,3
"721","ARF4",2,2
"722","ARF5",1,1
"723","ARFGAP2",2,3
"724","ARFGAP3",1,1
"725","ARFGEF1",2,2
"726","ARFGEF2",4,4
"727","ARFGEF3",5,6
"728","ARFIP1",2,2
"729","ARFIP2",2,2
"730","ARG1",2,2
"731","ARG2",1,1
"732","ARGFX",1,1
"733","ARHGAP1",1,1
"734","ARHGAP10",2,2
"735","ARHGAP11A",2,2
"736","ARHGAP12",1,1
"737","ARHGAP17",3,3
"738","ARHGAP18",2,2
"739","ARHGAP19",1,1
"740","ARHGAP20",1,1
"741","ARHGAP21",3,3
"742","ARHGAP22",1,1
"743","ARHGAP24",1,1
"744","ARHGAP25",4,5
"745","ARHGAP26",2,2
"746","ARHGAP27",3,4
"747","ARHGAP28",3,3
"748","ARHGAP29",2,2
"749","ARHGAP30",2,2
"750","ARHGAP31",1,1
"751","ARHGAP32",4,4
"752","ARHGAP33",1,1
"753","ARHGAP35",3,3
"754","ARHGAP36",2,2
"755","ARHGAP4",1,1
"756","ARHGAP44",3,3
"757","ARHGAP45",3,5
"758","ARHGAP5",2,2
"759","ARHGAP6",5,6
"760","ARHGAP9",3,4
"761","ARHGDIA",2,2
"762","ARHGDIB",1,1
"763","ARHGEF1",2,2
"764","ARHGEF10",3,3
"765","ARHGEF10L",2,2
"766","ARHGEF11",2,3
"767","ARHGEF12",2,2
"768","ARHGEF15",2,2
"769","ARHGEF16",2,2
"770","ARHGEF17",4,4
"771","ARHGEF18",1,1
"772","ARHGEF19",2,2
"773","ARHGEF2",1,1
